year,country,artist,song,place_final,points_jury_final,points_tele_final,yt_views,predicted_log_yt,expected_views,resid
2019,Switzerland,Luca Hänni,She Got Me,4.0,152.0,212.0,9659421.0,6.945863012659868,8828013.98859999,0.03908808228138039
2019,United Kingdom,Michael Rice,Bigger Than Us,26.0,8.0,3.0,1005631.0,6.34524870113035,2214362.4134412487,-0.34281004850353547
2021,Albania,Anxhela Peristeri,Karma,21.0,22.0,35.0,775598.0,5.947560367700115,886258.4065819663,-0.05792368718783081
2021,Azerbaijan,Efendi,Mata Hari,20.0,32.0,33.0,15289396.0,6.4339490489730204,2716120.5973897222,0.7504412801902287
2021,Belgium,Hooverphonic,The Wrong Place,19.0,71.0,3.0,2165000.0,6.156763198444606,1434706.9378621501,0.17869470224477801
2021,Bulgaria,Victoria,Growing Up Is Getting Old,11.0,140.0,30.0,817667.0,6.2224924446518175,1669138.7692315583,-0.3099159741188675
2021,Cyprus,Elena Tsagrinou,El Diablo,16.0,50.0,44.0,3883453.0,6.537951691173922,3451053.4934412194,0.05126636224242809
2021,Finland,Blind Channel,Dark Side,6.0,83.0,218.0,13303216.0,7.143163838727833,13904770.93395685,-0.019207196090227363
2021,France,Barbara Pravi,Voilà,2.0,248.0,251.0,29335439.0,7.439723409944631,27524751.70261781,0.027669181801548426
2021,Germany,Jendrik,I Don't Feel Hate,25.0,3.0,0.0,1247916.0,6.433365778418344,2712475.2141922163,-0.33718042541508986
2021,Greece,Stefania,Last Dance,10.0,91.0,79.0,7408559.0,6.640326607035603,4368442.332911343,0.22940713681325242
2021,Iceland,Daði & Gagnamagnið,10 Years,4.0,198.0,180.0,8625929.0,7.0290036413248735,10690638.427085059,-0.09319776217702191
2021,Israel,Eden Alene,Set Me Free,17.0,73.0,20.0,2374850.0,6.263560919356723,1834682.5036577946,0.11207526461276984
2021,Italy,Måneskin,Zitti e buoni,1.0,206.0,318.0,117067032.0,7.533595586001082,34166114.02862402,0.5348390218265582
2021,Lithuania,The Roop,Discoteque,8.0,55.0,165.0,10008127.0,6.667317983251133,4648555.101819334,0.3330348245302792
2021,Malta,Destiny,Je me casse,7.0,208.0,47.0,5923698.0,6.611589527853121,4088740.309655199,0.16100338150368376
2021,Moldova,Natalia Gordienko,Sugar,13.0,53.0,62.0,3799016.0,6.390897547931847,2459787.260555678,0.18877357470870582
2021,Netherlands,Jeangu Macrooy,Birth Of A New Age,23.0,11.0,0.0,1791207.0,6.2408047912806435,1741024.133801851,0.012340986507521912
2021,Norway,TIX,Fallen Angel,18.0,15.0,60.0,2608099.0,6.570801533806304,3722215.675977092,-0.15447746118749617
2021,Portugal,The Black Mamba,Love Is On My Side,12.0,126.0,27.0,1164003.0,6.236918745568845,1725515.0261365664,-0.17096464594074323
2021,Russia,Manizha,Russian Woman,9.0,104.0,100.0,9144495.0,6.789315723059932,6156242.561071207,0.17184400372690156
2021,San Marino,Senhit feat. Flo Rida,Adrenalina,22.0,37.0,13.0,3148715.0,6.3303481545264315,2139676.6855704305,0.16778519854302587
2021,Serbia,Hurricane,Loco,15.0,20.0,82.0,11310325.0,6.361242266055588,2297429.8848880264,0.6922328184170556
2021,Spain,Blas Cantó,Voy a quedarme,24.0,6.0,0.0,2497539.0,6.728594918848072,5352971.348462852,-0.3310826402273088
2021,Sweden,Tusse,Voices,14.0,46.0,63.0,3324388.0,6.369759677613357,2342931.9652751167,0.15195202836067256
2021,Switzerland,Gjon's Tears,Tout l'univers,3.0,267.0,165.0,15601056.0,6.89937444216429,7931849.07839754,0.29377955359089203
2021,Ukraine,Go_A,Shum,5.0,97.0,267.0,35965565.0,7.075883407067929,11909222.439908477,0.4800034801590307
2021,United Kingdom,James Newman,Embers,26.0,0.0,0.0,4717366.0,6.404266008090917,2536681.888307573,0.2694335644901731
2022,Armenia,Rosa Linn,Snap,20.0,40.0,21.0,4107328.0,6.337332590618572,2174365.7102534,0.27622679519152893
2022,Australia,Sheldon Riley,Not The Same,15.0,123.0,2.0,1433596.0,6.445216980680505,2787513.5084710084,-0.2887902001233025
2022,Azerbaijan,Nadir Rustamli,Fade To Black,16.0,103.0,3.0,1429380.0,6.393075029475966,2472151.2013005298,-0.23792732835164987
2022,Belgium,Jérémie Makiese,Miss You,19.0,59.0,5.0,958249.0,6.1954450249491435,1568357.3550179338,-0.213966650239251
2022,Czechia,We Are Domi,Lights Off,22.0,33.0,5.0,1583126.0,6.3099357469450625,2041435.8957101956,-0.11042026548317896
2022,Estonia,Stefan,Hope,13.0,43.0,98.0,1911967.0,6.661576404283603,4587503.454385765,-0.3800960120765673
2022,Finland,The Rasmus,Jezebel,21.0,12.0,26.0,2887977.0,6.453543418492653,2841472.246329014,0.007050311674734466
2022,France,Alvan & Ahez,Fulenn,24.0,9.0,8.0,3862536.0,6.491917570217683,3103970.3937053303,0.09495496998957442
