year,country,artist,song,place_final,points_total,jury_points,tele_points,spotify_pop,yt_views_millions,youtube_url
2019,Albania,Jonida Maliqi,Ktheju tokës,17.0,90.0,43.0,47.0,,,
2019,Australia,Kate Miller-Heidke,Zero Gravity,9.0,284.0,153.0,131.0,55.0,18.0,https://youtube.com/watch?v=Eo5H62mCIsg
2019,Azerbaijan,Chingiz,Truth,8.0,302.0,202.0,100.0,52.0,15.0,https://youtube.com/watch?v=D6vvuCiHwSs
2019,Belarus,Zena,Like It,24.0,31.0,18.0,13.0,,,
2019,Cyprus,Tamta,Replay,13.0,109.0,77.0,32.0,,,https://youtube.com/watch?v=wIpEI-NhRxg
2019,Czechia,Lake Malawi,of a Friend,11.0,157.0,150.0,7.0,,,https://youtube.com/watch?v=NJxLKFZKhNs
2019,Denmark,Leonora,Love is Forever,12.0,120.0,69.0,51.0,,,https://youtube.com/watch?v=mucmvTLHJQM
2019,Estonia,Victor Crone,Storm,20.0,76.0,28.0,48.0,,,
2019,France,Bilal Hassani,Roi,16.0,105.0,67.0,38.0,,,
2019,Germany,S!sters,Sister,25.0,24.0,24.0,0.0,,,
2019,Greece,Katerine Duska,Better Love,21.0,74.0,50.0,24.0,,,
2019,Iceland,Hatari,Hatrið mun sigra,10.0,232.0,46.0,186.0,60.0,30.0,https://youtube.com/watch?v=kTb69WkBbvs
2019,Israel,Kobi Marimi,Home,23.0,35.0,0.0,35.0,,,
2019,Italy,Mahmood,Soldi,2.0,472.0,219.0,253.0,73.0,110.0,https://youtube.com/watch?v=M-aoyPa41Ic
2019,Malta,Michela,Chameleon,14.0,107.0,87.0,20.0,,,https://youtube.com/watch?v=H-byNyainRA
2019,Netherlands,Duncan Laurence,Arcade,1.0,498.0,237.0,261.0,82.0,420.0,https://youtube.com/watch?v=R3D-r4ogr7s
2019,North Macedonia,Tamara Todevska,Proud,7.0,305.0,247.0,58.0,55.0,18.0,https://youtube.com/watch?v=0pAURAsum4A
2019,Norway,KEiiNO,Spirit In The Sky,6.0,331.0,40.0,291.0,68.0,90.0,https://youtube.com/watch?v=Ovt7YGHAj8I
2019,Russia,Sergey Lazarev,Scream,3.0,370.0,126.0,244.0,58.0,55.0,https://youtube.com/watch?v=eNzlxEZ_JG4
2019,San Marino,Serhat,Say Na,19.0,77.0,12.0,65.0,,,
2019,Serbia,Nevena Božović,Kruna,18.0,89.0,35.0,54.0,,,
2019,Slovenia,Zala Kralj & Gašper Šantl,Sebi,15.0,105.0,46.0,59.0,,,
2019,Spain,Miki,La venda,22.0,54.0,1.0,53.0,,,
2019,Sweden,John Lundvik,Too Late for Love,5.0,334.0,241.0,93.0,57.0,25.0,https://youtube.com/watch?v=oEdWkdVKIqQ
